"RelativePath","Bytes","SHA256","MatchesSignedPackage"
"rtl/board/aq_axi_master_fixed.v","9084","4B85ABCD00D75C7F6110E394664E31850EE47DFB2DE22E1A2A35BC25AC28A1F7","True"
"rtl/board/attention_board_top.sv","14185","46046EB8C5A1A5B8833E8919DCA47E3461EDB987D774CBB5014918177EB46156","True"
"rtl/board/fpt_attention_board_engine.sv","25513","5D64FE45E9378B39780E2616DA6E622670CC459F9C7D9C27CEDAE58FEE30F5AF","True"
"rtl/board/fpt_context_ddr_writer.sv","8652","0200877D2DC828159A362F6B36C4AE7BECC235B1AEC6BE9F7121714812A8E2FC","True"
"rtl/board/fpt_raw_qk_ddr_reader.sv","6049","6D3EDF282904FDE715D0F7799A3C53776E6D38FFB1155784C9F2B075837D6207","True"
"rtl/board/fpt_v_ddr_loader.sv","6044","7BA7E5AAB5C949AD05959B548F96048327AA555B7C5CD58C3051781483C05200","True"
"rtl/core/a/flash_attention_system_with_rope_top.sv","9229","462F1FE61D0B5C4115C781873F4F18583A822ABDFCD48EBFE74CC71F7110C04B","True"
"rtl/core/bc/backend/bf16_v_cache.sv","4206","03D26589876D33206B501FF3EF01BF7797FA904F6A005A254A1423610D28B2AB","True"
"rtl/core/bc/qk/bf16_to_fp32.v","156","644C6D2BBCE2DDB9151B86DC8747A5D70CF301D3EA205DF121C3C0FD17CCA9D7","True"
"rtl/core/bc/qk/fp32_add_ip.v","878","50582A96875B2CF715630ABA79A9D7A8D1B3AA3922A2073E5F220AB88381BD8B","True"
"rtl/core/bc/qk/fp32_mul_ip.v","1487","9AA5FD5630CDE70AFCF6A1A17555D0FDF4FF8C18143AC1046E04C148E3014DF3","True"
"rtl/core/bc/qk/fp32_to_bf16.v","405","16001970F00AA1CBEBAC79AFBFACB5926463D6B5EBE11B82728337A463457CAA","True"
"rtl/core/bc/qk/qk_parallel_systolic_gqa_top.sv","15440","AB5ADBCCF9F93A9A58CB93C314AFDC438323AB9345969ADB58C2EAB033C40917","True"
"rtl/core/bc/qk/qk_result_scaler.sv","3916","80F33B091D99D9053229574DD847FBE89D198618C11CF2798FBDEC72F3FCCEF0","True"
"rtl/core/bc/qk/qk_systolic_gqa_top.sv","7926","3B8BA506FB3E9BD0700E5B512D9F77F09440414C30362961F7B406BE1B0192B9","True"
"rtl/core/bc/qk/qk_systolic_pe.sv","7730","32083419EC9C9543F614B1D7FDDD52317F4E3B93DCBDC41EEC97BD2E3B6EBC89","True"
"rtl/core/bc/qk/qk_systolic_tile.sv","17231","BF3834516D91C13CD952ACA93E4BB7755E00634F8C1A0646144A0DE519F1C8D0","True"
"rtl/core/bc/softmax/exp_lut.sv","508","16F7D51980ED67ED965E98460075F2E1066AAF7077510CD7E1553EC767613CD8","True"
"rtl/core/bc/softmax/unsigned_restoring_divider.sv","3189","7223A534740AE7D53E2DB42AA4B04FB15883A9687EB67B7581554AA884FE7A1B","True"
"rtl/core/online/flash_attention_consumer_top.sv","7192","C1D2012E4376C46579EBC193502433B0299671F76CDEE99F71F1856D27D8A531","True"
"rtl/core/online/flash_context_fusion_backend.sv","20066","9109A4B17DF4A470FBB346BDFE0B362FD8EB095794507B43C7BE44E70679116E","True"
"rtl/core/online/flash_context_update_pe.sv","8660","623B04BB7901FE01A4D693B8BBC08118CE0225D3CBFEA2BAD1B1EBE1999C2BCA","True"
"rtl/core/online/flash_online_softmax_frontend.sv","18293","2DB37375C05121FA9A756E1D6E607D722571172FBC83A9913734845810E9CC6A","True"
"rtl/core/online/flash_score_tile_fifo.sv","10559","2A9D55CFDDEC952A7BEA5FC4B62FFB4D3257E2DC41446DAFA03828B3779455DD","True"
"rtl/core/online/qk_flash_attention_pipeline_top.sv","8291","92271D9AF4C8EFC7B5B42345E7A4EBF872CE95DF0AA7870E66D3050A5FE3EB24","True"
"rtl/core/online/rope_qk_flash_attention_pipeline_top.sv","6971","D7D49D111A9D473A6C861660A8D25E16F99B1C25B3E0A4AA7A8907A81547595B","True"
"rtl/core/pv/pv_fp32_add_ip.sv","1318","AAC5DAF292B134EF3AFC279850AE9E4FA237B098EC9653E833A5A1A9C1365632","True"
"rtl/core/pv/pv_fp32_mul_ip.sv","1290","A01B077B3057E1C1E973C8D9D9AB27A41ED0CD26A51791C489A9DD6457F3C412","True"
"rtl/core/rope/rope_group_bridge.sv","5772","F3FD50B8765420091FE7216A1DFD8726869CC6B0FE471CCA31517ECF79183B81","True"
"rtl/core/rope/rope_group_prepare.sv","6623","FC719DD2F1EA45C66BE0EC39E629E322814B27B21422A461BEAE90D1286AE5DF","True"
"rtl/core/rope/rope_pair_pipeline.sv","5870","C52CA9D5C258C594AB90D666EBAAD255AB893B763BEFD4E61E48525BFACEC406","True"
"rtl/core/rope/rope_qk_group_cache.sv","6463","D6D87375001B95845C43020ADB8D05CB9F89892DE3BFA61CEDFAE0FAC24325D4","True"
